state,state_code,serial_no,blood_bank_name,address,phone,email,category,is_available,total_units,stock_O_pos,stock_O_neg,stock_A_pos,stock_A_neg,stock_B_pos,stock_B_neg,stock_AB_pos,stock_AB_neg,raw_availability,last_updated,type,scraped_at
Andaman and Nicobar Islands,35,1,Pillar Health Centre,"Lamba Line, Post Box No:526, Junglighat Post. PortBlair, , Port Blair, South Andaman, Andaman and Nicobar Islands",9679535438,pillar.portblair@gmail.com,Charitable/Vol,True,27,12,0,5,0,8,0,2,0,"Available, A+Ve:5, B+Ve:8, O+Ve:12, AB+Ve:2",2026-04-06 23:42:07,Blood Bank,2026-04-07T19:23:42.662289
Andhra Pradesh,28,1,-,"Do. No 26-15-21,Z.P.Compound,Nagaram Palem, Do. No 26-15-21,Z.P.Compound,Nagaram Palem, Guntur, Guntur, Andhra Pradesh, -",,,Unknown,True,9,5,0,1,0,3,0,0,0,"Available, B+Ve:3, A+Ve:1, O+Ve:5",2026-04-07 18:52:58,Blood Bank,2026-04-07T19:23:45.687877
Andhra Pradesh,28,2,Smt. Mattey Nagamani And Adinarayana Memorial Rotary Blood Center,"D.No. 1 - 8 - 32/34 - A , 1st Floor, Sudha Rotary Sathabdi B, , Peddapuram, Kakinada, Andhra Pradesh",9494703300,bloodbank.peddapuram@gmail.com,Charitable/Vol,True,12,0,0,6,0,4,1,1,0,"Available, B-Ve:1, AB+Ve:1, A+Ve:6, B+Ve:4",2026-04-07 18:37:10,Blood Bank,2026-04-07T19:23:45.687901
Andhra Pradesh,28,3,"Akshaya Blood Centre, Kakinada","6-1-44/1, 2nd floor, polisetty plaza,jawahar street, surya r, , Kakinada, Kakinada, Andhra Pradesh",9989789761,Akshayabloodcenterkkd@gmail.com,Charitable/Vol,False,0,0,0,0,0,0,0,0,0,Whole BloodNot Available Search for another Component,2026-04-07 18:23:54,Blood Bank,2026-04-07T19:23:45.687912
Andhra Pradesh,28,4,Needs Blood Centre (A Unit Of Needs Society),"D.No. 12-28-56, 1st Floor (Part), Main Road, , Kothapet, Guntur, Andhra Pradesh",9246448899,needsbloodbankguntur@gmail.com,Private,False,0,0,0,0,0,0,0,0,0,Whole BloodNot Available Search for another Component,2026-04-07 17:46:45,Blood Bank,2026-04-07T19:23:45.687922
Andhra Pradesh,28,5,Bsu Mch Ongole,"Ongole, , MCH ONGOLE, Prakasam, Andhra Pradesh",9440253252,apvahypalem@gmail.com,Govt.,True,10,4,0,2,0,3,0,1,0,"Available, AB+Ve:1, A+Ve:2, B+Ve:3, O+Ve:4",2026-04-07 16:46:23,BSU,2026-04-07T19:23:45.687932
Andhra Pradesh,28,6,New Life Blood Centre Kurnool,"P.no.104&105, 3rd floor,KLR Buildings,Gayathri Estate,Kurnoo, , Kurnool, Kurnool, Andhra Pradesh",9985118535,newlifebloodbankkurnool@gmail.com,Private,False,0,0,0,0,0,0,0,0,0,Whole BloodNot Available Search for another Component,2026-04-07 16:41:16,Blood Bank,2026-04-07T19:23:45.687941
Andhra Pradesh,28,7,Indian Red Cross Society Blood Centre Narasaraopeta,"New GGH, Lingamaguntla, Narasarao peta, Palnadu, Narasaraopeta, Palnadu, Andhra Pradesh",9100078576,redcrosspalnadu@gmail.com,Red Cross ,True,26,8,0,8,0,9,0,1,0,"Available, AB+Ve:1, O+Ve:8, A+Ve:8, B+Ve:9",2026-04-07 15:05:48,Blood Bank,2026-04-07T19:23:45.687950
Andhra Pradesh,28,8,Bsu Chc Amaravathi,"Amaravathi, , Amaravathi, Palnadu, Andhra Pradesh",9848363931,moamaravathi@yahoo.com,Govt.,False,0,0,0,0,0,0,0,0,0,Whole BloodNot Available Search for another Component,2026-04-07 14:59:17,BSU,2026-04-07T19:23:45.687958
Andhra Pradesh,28,9,Bsu Chc Penugonda,"Penugonda, , PENUGONDA, West Godavari, Andhra Pradesh",6300147334,mopenugonda@gmail.com,Govt.,False,0,0,0,0,0,0,0,0,0,Whole BloodNot Available Search for another Component,2026-04-07 14:52:51,BSU,2026-04-07T19:23:45.687966
Andhra Pradesh,28,10,Sahasra Blood Centre,"2nd floor, Teja towers, Near S.K.B.R College, Amalapuram, Amalapuram, Konaseema, Andhra Pradesh",9603671842,sahasrabloodcentre@gmail.com,Private,False,0,0,0,0,0,0,0,0,0,Whole BloodNot Available Search for another Component,2026-04-07 14:41:14,Blood Bank,2026-04-07T19:23:45.687976
Andhra Pradesh,28,11,Bobbili Blood Centre,"D.NO-11-65&66,1ST FLOOR,VYSHNAV STREET,BOBBILI,VZM , , Bobbili, Vizianagaram, Andhra Pradesh",9949456286,bobbilibloodcentre@gmail.com,Charitable/Vol,False,0,0,0,0,0,0,0,0,0,Whole BloodNot Available Search for another Component,2026-04-07 14:39:11,Blood Bank,2026-04-07T19:23:45.687983
Andhra Pradesh,28,12,Vijayasri Blood Centre Ongole,"D.No: 5-302, 1st and 2nd floor, Opp.Sri Madhavi Hospital, Ve, , Ongole, Prakasam, Andhra Pradesh",9701233199,vijayasribloodbankong@gmail.com,Charitable/Vol,False,0,0,0,0,0,0,0,0,0,Whole BloodNot Available Search for another Component,2026-04-07 14:38:05,Blood Bank,2026-04-07T19:23:45.687992
Andhra Pradesh,28,13,District Hospital Blood Centre Hindupur,"Blood Bank, District Hospital, Hindupur, , Hindupur, Sri Sathya Sai, Andhra Pradesh",9398736265,bbapvvphup@gmail.com,Govt.,False,0,0,0,0,0,0,0,0,0,Whole BloodNot Available Search for another Component,2026-04-07 14:36:15,Blood Bank,2026-04-07T19:23:45.688000
Andhra Pradesh,28,14,Government General Hospital Blood Centre Srikakulam,"Hudco Colony, Balaga, Srikakulam, , , Srikakulam, Srikakulam, Andhra Pradesh",7702319013,bbrimssklm@gmail.com,Govt.,False,0,0,0,0,0,0,0,0,0,Whole BloodNot Available Search for another Component,2026-04-07 14:35:58,Blood Bank,2026-04-07T19:23:45.688007
Andhra Pradesh,28,15,Bsu Chc Visannapeta,"Visannapeta, , Visannapeta, NTR, Andhra Pradesh",8985859607,bsuvisannapeta@gmail.com,Govt.,True,3,1,0,1,0,1,0,0,0,"Available, A+Ve:1, O+Ve:1, B+Ve:1",2026-04-07 14:26:39,BSU,2026-04-07T19:23:45.688016
Andhra Pradesh,28,16,Bsu Chc Chinnemergani,"Chinnamegani, , Chinnemergani, Parvathipuram Manyam, Andhra Pradesh",9491793908,chcchinamerangi@email.com,Govt.,False,0,0,0,0,0,0,0,0,0,Whole BloodNot Available Search for another Component,2026-04-07 14:25:27,BSU,2026-04-07T19:23:45.688025
Andhra Pradesh,28,17,-,"Opp.S.P Bunglaw,Paraspet,Kennedy Road, , Machilipatnam, Krishna, Andhra Pradesh, -",,,Unknown,True,25,9,1,5,1,7,0,2,0,"Available, A+Ve:5, B+Ve:7, O-Ve:1, AB+Ve:2, O+Ve:9, A-Ve:1",2026-04-07 14:19:36,Blood Bank,2026-04-07T19:23:45.688041
Andhra Pradesh,28,18,Bsu Chc Sidhout,"Sidhout, , Sidhout, Y.S.R., Andhra Pradesh",9182456693,siddaoutchc@gmail.com,Govt.,True,5,2,0,1,0,2,0,0,0,"Available, B+Ve:2, A+Ve:1, O+Ve:2",2026-04-07 14:17:23,BSU,2026-04-07T19:23:45.688050
Andhra Pradesh,28,19,New Life Blood Centre Vizianagaram,"4th floor, Revenue Ward, H.no 1-9/1-37 3,4 th floor sri bangarmma complex,  Vizianagaram, Vizianagaram, Andhra Pradesh",8096171616,newlifebloodcentreviznrm@gmail.com,Charitable/Vol,False,0,0,0,0,0,0,0,0,0,Whole BloodNot Available Search for another Component,2026-04-07 14:08:43,Blood Bank,2026-04-07T19:23:45.688058
Andhra Pradesh,28,20,Sunrise Voluntary Blood Centre,"M/s.Sunrise Voluntary Blood Bank,( A Division of Mother Ther, , Jangareddygudem, West Godavari, Andhra Pradesh",9000963508,sunrisevoluntarybloodbank@gmail.com,Charitable/Vol,False,0,0,0,0,0,0,0,0,0,Whole BloodNot Available Search for another Component,2026-04-07 14:01:43,Blood Bank,2026-04-07T19:23:45.688065
Andhra Pradesh,28,21,Blood Centre Central Hospital Ttd Tirupati,"BIRRD (T) Hospital, First Floor, KT Road, , Tirupati, Tirupati, Andhra Pradesh",9849835530,ttdcentralhospital@gmail.com,Charitable/Vol,True,104,28,3,19,4,33,2,13,2,"Available, O+Ve:28, AB+Ve:13, A+Ve:19, A-Ve:4, B+Ve:33, O-Ve:3, B-Ve:2, AB-Ve:2",2026-04-07 14:01:01,Blood Bank,2026-04-07T19:23:45.688077
Andhra Pradesh,28,22,-,"CONTONMENT, GROUND FLOOR GGH, Vizianagaram, Vizianagaram, Andhra Pradesh, -",,,Unknown,True,10,0,0,5,0,0,2,3,0,"Available, AB+Ve:3, A+Ve:5, B-Ve:2",2026-04-07 14:00:43,Blood Bank,2026-04-07T19:23:45.688085
Andhra Pradesh,28,23,Indian Red Cross Society Blood Centre Kakinada,"8-14-39, Red Cross Street, Gandhi Nagar, Kakinada, 8-14-39, RED CROSS BHAVAN, RED CROSS STREET, GANDHINAGAR, KA, kakinada, Kakinada, Andhra Pradesh",9848424389,redcrossbloodbankkakinada@yahoo.com,Red Cross ,False,0,0,0,0,0,0,0,0,0,Whole BloodNot Available Search for another Component,2026-04-07 13:45:49,Blood Bank,2026-04-07T19:23:45.688095
Andhra Pradesh,28,24,-,"10/971,Opp,Matti Pedda Duli, Trunk Road, Kadapa, Y.S.R., Andhra Pradesh, -",,,Unknown,False,0,0,0,0,0,0,0,0,0,Whole BloodNot Available Search for another Component,2026-04-07 13:45:25,Blood Bank,2026-04-07T19:23:45.688101
Andhra Pradesh,28,25,Dr Jawahara Blood Center,"D.No. 2/59/A, 5th floor,Near RTC Bus stop ,Main road Chimaku, , Chimakurthy, Prakasam, Andhra Pradesh",8431219999,drjawaharbloodcenter@gmail.com,Private,True,11,9,0,1,0,1,0,0,0,"Available, B+Ve:1, O+Ve:9, A+Ve:1",2026-04-07 13:30:41,Blood Bank,2026-04-07T19:23:45.688110
Andhra Pradesh,28,26,Vijaya Blood Centre Machilipatnam,"D.No 11/689, 1st floor, , Meenakshmi complex, 5 roads centre, jagannadapuram , Machili, Machilipatnam, Krishna, Andhra Pradesh",7799557009,vijayabloodcentremtm@gmail.com,Charitable/Vol,False,0,0,0,0,0,0,0,0,0,Whole BloodNot Available Search for another Component,2026-04-07 13:15:42,Blood Bank,2026-04-07T19:23:45.688118
Andhra Pradesh,28,27,Area Hospital Blood Centre Ramachandrapuram,"AH Ramachandrapuram, Konaseema District, Andhra Pradesh, , RAMACHANDRAPURAM, Konaseema, Andhra Pradesh",9848257592,ah_rcpm@yahoo.co.in,Govt.,False,0,0,0,0,0,0,0,0,0,Whole BloodNot Available Search for another Component,2026-04-07 13:13:06,Blood Bank,2026-04-07T19:23:45.688127
Andhra Pradesh,28,28,District Hospital Blood Centre Atmakur Nellore,"1st floor, Near Wear Colony, , Nellore, Sri Potti Sriramulu Nellore, Andhra Pradesh",9247708602,dhatk@yahoo.com,Govt.,False,0,0,0,0,0,0,0,0,0,Whole BloodNot Available Search for another Component,2026-04-07 13:12:24,Blood Bank,2026-04-07T19:23:45.688135
Andhra Pradesh,28,29,Area Hospital Blood Centre Guntakal,"M/S APVVP Area Hospital Blood Center, Guntakal, Anantapuramu, , GUNTAKAL, Anantapur, Andhra Pradesh",9160100310,bloodbankahgtl@gmail.com,Govt.,True,15,2,0,2,0,9,0,2,0,"Available, B+Ve:9, AB+Ve:2, O+Ve:2, A+Ve:2",2026-04-07 13:11:43,Blood Bank,2026-04-07T19:23:45.688146
Andhra Pradesh,28,30,Pranadatha Blood Centre,"D.No.13-2-169/A,1st & 2nd Floor, Upstairs Paradise Hotel, Op, , Palasa, Srikakulam, Andhra Pradesh",07207848925,pranadathabloodcentre@gmail.com,Private,False,0,0,0,0,0,0,0,0,0,Whole BloodNot Available Search for another Component,2026-04-07 13:11:11,Blood Bank,2026-04-07T19:23:45.688154
Andhra Pradesh,28,31,Moksha Blood Center Srikakulam,"Near YSR Junction, Main Road, Narsannapeta, Srikakulam, , Narsannapeta, Srikakulam, Andhra Pradesh",9553041122,mokshabloodcenter@gmail.com,Charitable/Vol,False,0,0,0,0,0,0,0,0,0,Whole BloodNot Available Search for another Component,2026-04-07 13:10:51,Blood Bank,2026-04-07T19:23:45.688161
Andhra Pradesh,28,32,Viswa Bharathi Super Speciality Hospital Blood Centre,"50/760-A-127-13, 1st Floor, (O.P. Block), Gayathri Estates, , Kurnool, Kurnool, Andhra Pradesh",08518 229967,-,Private,False,0,0,0,0,0,0,0,0,0,Whole BloodNot Available Search for another Component,2026-04-07 13:08:34,Blood Bank,2026-04-07T19:23:45.688169
Andhra Pradesh,28,33,-,"IRCS Blood Bank,opposite to Ravi theater, DMHO compound, Kurnool., Kurnool, Kurnool, Andhra Pradesh, -",,,Unknown,True,44,32,0,2,0,3,7,0,0,"Available, A+Ve:2, O+Ve:32, B-Ve:7, B+Ve:3",2026-04-07 13:06:54,Blood Bank,2026-04-07T19:23:45.688177
Andhra Pradesh,28,34,Bsu Chc Pedakurapadu,"Pedakurapadu, , Pedakurapadu, Palnadu, Andhra Pradesh",9533161751,mochcpedakurapadu2016@gmail.com,Govt.,True,2,0,0,1,0,1,0,0,0,"Available, B+Ve:1, A+Ve:1",2026-04-07 13:06:17,BSU,2026-04-07T19:23:45.688186
Andhra Pradesh,28,35,Vizianagaram Rotary Parvati Devi Anchalia Voluntary Blood Centre,"D.NO.5-16-6/16,1st Floor,Rotary community hall,NCS Road,vzm, , Vizianagaram, Vizianagaram, Andhra Pradesh",9849010503,Rotarybloodbankvzm@gmail.com,Charitable/Vol,False,0,0,0,0,0,0,0,0,0,Whole BloodNot Available Search for another Component,2026-04-07 13:06:08,Blood Bank,2026-04-07T19:23:45.688194
