state,state_code,serial_no,blood_bank_name,address,phone,email,category,is_available,total_units,stock_O_pos,stock_O_neg,stock_A_pos,stock_A_neg,stock_B_pos,stock_B_neg,stock_AB_pos,stock_AB_neg,raw_availability,last_updated,type,scraped_at
Delhi,97,1,"ABVIMS, Dr Ram Manohar Lohia Hospital","Baba Kharak Singh Marg, Near Gurudwara Bangla Sahib, New Delhi, Central, Delhi",23404286,drchaudharyk@yahoo.co.in,Govt.,True,18,5,1,4,0,5,0,2,1,"Available, O-Ve:1, AB-Ve:1, AB+Ve:2, A+Ve:4, B+Ve:5, O+Ve:5",,Blood Bank,2026-04-07T19:22:17.503676
Delhi,97,2,Indian Red Cross Society NHQ Blood Centre,"1, Red Cross Road, Sansad Marg Area, New Delhi, New Delhi, Delhi",1123711551,bloodbank@indianredcross.org,Red Cross ,True,1,0,0,1,0,0,0,0,0,"Available, A+Ve:1",,Blood Bank,2026-04-07T19:22:17.503706
Delhi,97,3,Blood Centre Guru Tegh Bahadur Hospital,"G.T.B. Hospital, Shahdara,  , Delhi, Shahdara, Delhi",9910790101,bloodbankgtbh@gmail.com,Govt.,False,0,0,0,0,0,0,0,0,0,Whole BloodNot Available Search for another Component,2026-04-07 15:53:49,Blood Bank,2026-04-07T19:22:17.503721
Delhi,97,4,-,"U1/78 BUDH VIHAR, MAIN KANJHAWALA ROAD, , DELHI, North West, Delhi, -",,,Unknown,False,0,0,0,0,0,0,0,0,0,Whole BloodNot Available Search for another Component,2026-04-07 15:00:46,Blood Bank,2026-04-07T19:22:17.503731
Delhi,97,5,"Blood Centre, Dr. Baba Saheb Ambedkar Hospital","Regional Blood Transfusion Centre  ,Dr BSA Hospital,Sector-6, , New Delhi, North West, Delhi",7290095590,msidhar67@gmail.com,Govt.,False,0,0,0,0,0,0,0,0,0,Whole BloodNot Available Search for another Component,2026-04-07 14:57:38,Blood Bank,2026-04-07T19:22:17.503741
Delhi,97,6,"Blood Centre, Max Super Specialty Hospital, (A Unit Of Devki Devi Foundation)","2, Press Enclave Road, Saket, , New Delhi, South, Delhi",1126515050,-,Private,False,0,0,0,0,0,0,0,0,0,Whole BloodNot Available Search for another Component,2026-04-07 14:34:45,Blood Bank,2026-04-07T19:22:17.503751
Delhi,97,7,"Blood Centre, Deen Dayal Upadhay Hospital","Hari Nagar new delhi, , New Delhi, West, Delhi",0112085203,dduhbloodbank@gmail.com,Govt.,False,0,0,0,0,0,0,0,0,0,Whole BloodNot Available Search for another Component,2026-04-07 14:33:45,Blood Bank,2026-04-07T19:22:17.503760
Delhi,97,8,"Blood Centre, National Heart Institute","49, Community Center, East of Kailash, , New Delhi, South, Delhi",26414156,contact@nhi.in,Private,True,6,0,0,2,0,2,0,2,0,"Available, A+Ve:2, AB+Ve:2, B+Ve:2",2026-04-07 14:31:17,Blood Bank,2026-04-07T19:22:17.503772
Delhi,97,9,Blood Centre Organization,"11/6B Shanti Chamber, Opp. Telephone Exchange, Pusa Road, , New Delhi, Central, Delhi",25721870,bloodbankorg@gmail.com,Private,False,0,0,0,0,0,0,0,0,0,Whole BloodNot Available Search for another Component,2026-04-07 12:45:19,Blood Bank,2026-04-07T19:22:17.503783
Delhi,97,10,"Blood Centre, Jaipur Golden Hospital","2, Institutional Area, Rohini Sector-III, , New Delhi, West, Delhi",27907248,bloodbank@jghdelhi.net,Private,False,0,0,0,0,0,0,0,0,0,Whole BloodNot Available Search for another Component,2026-04-07 12:40:09,Blood Bank,2026-04-07T19:22:17.503792
